Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
128up,ensheathing glial cell,0.015021446,1.0,-0.0
14-3-3epsilon,ensheathing glial cell,-0.35534877,0.046861026137968456,1.3291882056840394
14-3-3zeta,ensheathing glial cell,-0.17554748,0.016767460903775656,1.7755326976185493
140up,ensheathing glial cell,-0.10992792,1.0,-0.0
18SrRNA-Psi:CR41602,ensheathing glial cell,1.1946892,1.0,-0.0
18w,ensheathing glial cell,0.5214495,0.02390685736215441,1.6214775096214409
26-29-p,ensheathing glial cell,-0.2896099,1.0,-0.0
28SrRNA-Psi:CR40596,ensheathing glial cell,2.6592896,3.4905708083532953e-10,9.457103547640342
28SrRNA-Psi:CR40741,ensheathing glial cell,1.5165961,1.0,-0.0
28SrRNA-Psi:CR41609,ensheathing glial cell,-0.224103,1.0,-0.0
28SrRNA-Psi:CR45848,ensheathing glial cell,0.9999576,1.0,-0.0
28SrRNA-Psi:CR45851,ensheathing glial cell,1.6480706,1.0,-0.0
28SrRNA-Psi:CR45853,ensheathing glial cell,0.0,1.0,-0.0
28SrRNA-Psi:CR45855,ensheathing glial cell,0.8832699,1.0,-0.0
28SrRNA-Psi:CR45859,ensheathing glial cell,1.1435469,0.6096359952819685,0.21492939847485185
28SrRNA-Psi:CR45860,ensheathing glial cell,-0.44477522,1.0,-0.0
2mit,ensheathing glial cell,0.2733471,1.0,-0.0
312,ensheathing glial cell,-0.20201536,1.0,-0.0
4E-T,ensheathing glial cell,1.03021,0.021521543859936015,1.6671265775316018
5-HT1A,ensheathing glial cell,2.213807,1.0,-0.0
5-HT1B,ensheathing glial cell,0.6072334,1.0,-0.0
5-HT2A,ensheathing glial cell,-0.25303245,1.0,-0.0
5-HT2B,ensheathing glial cell,0.86312354,1.0,-0.0
5-HT7,ensheathing glial cell,1.0647616,2.0281926351702246e-08,7.692890798639321
5.8SrRNA-Psi:CR45849,ensheathing glial cell,25.145344,1.0,-0.0
5.8SrRNA-Psi:CR45854,ensheathing glial cell,0.0,1.0,-0.0
5.8SrRNA-Psi:CR45857,ensheathing glial cell,0.42371255,1.0,-0.0
5.8SrRNA-Psi:CR45863,ensheathing glial cell,2.1604438,1.0,-0.0
5PtaseI,ensheathing glial cell,0.9659773,1.0,-0.0
5SrRNA-Psi:CR33363,ensheathing glial cell,0.0,1.0,-0.0
5SrRNA-Psi:CR33371,ensheathing glial cell,0.0,1.0,-0.0
7B2,ensheathing glial cell,-2.4048154,1.728630412644451e-05,4.762297850512458
7SLRNA:CR42652,ensheathing glial cell,0.0,1.0,-0.0
825-Oak,ensheathing glial cell,0.0,1.0,-0.0
A16,ensheathing glial cell,1.0199655,1.0,-0.0
AANAT1,ensheathing glial cell,0.55983377,1.0,-0.0
AANATL2,ensheathing glial cell,-0.18748058,1.0,-0.0
AANATL3,ensheathing glial cell,0.0,1.0,-0.0
AANATL4,ensheathing glial cell,0.0,1.0,-0.0
AANATL7,ensheathing glial cell,-0.8874054,1.0,-0.0
ABCA,ensheathing glial cell,0.67545927,0.43212555450280155,0.36439005016321363
ABCB7,ensheathing glial cell,-1.3396374,1.0,-0.0
ABCD,ensheathing glial cell,1.5335081,1.4918797210795197e-12,11.826266189314497
ACC,ensheathing glial cell,0.4564828,0.5111153215612088,0.29148110012527073
ACXA,ensheathing glial cell,0.0,1.0,-0.0
ACXB,ensheathing glial cell,0.0,1.0,-0.0
ACXC,ensheathing glial cell,19.20737,1.0,-0.0
